train/std,train/n_updates,train/clip_range,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/value_loss,train/learning_rate,train/clip_fraction,train/explained_variance,time/total_timesteps,train/policy_gradient_loss,train/approx_kl,rollout/ep_len_mean,train/loss,train/entropy_loss
0.1341809183359146,180,0.2,1193,10,-13.578906799999999,17,0.22777226406615228,2.5e-05,0.2764404296875,0.31561797857284546,20480,-0.06146842037851456,0.024474237,1000.0,0.027775458991527557,3.537073181569576
0.13295422494411469,380,0.2,1140,20,107.32800095,35,3.134067851677537,2.5e-05,0.306005859375,0.7806570529937744,40960,-0.06108928272369667,0.03329409,1000.0,1.0752842426300049,3.5928804583847525
0.13193844258785248,580,0.2,1095,30,159.92884085245902,56,9.249701879918575,2.5e-05,0.35595703125,0.9499907493591309,61440,-0.06190046540068579,0.040676735,1000.0,3.5740859508514404,3.6370350912213327
0.12981615960597992,780,0.2,1082,40,242.34363896296296,75,11.794629026204348,2.5e-05,0.384423828125,0.9610053300857544,81920,-0.05833609991241247,0.04352756,1000.0,4.933801174163818,3.732856938242912
0.12840710580348969,980,0.2,1087,50,322.46060665,94,11.516215785592795,2.5e-05,0.4246826171875,0.9621079564094543,102400,-0.05761331807152601,0.05612836,1000.0,3.2180416584014893,3.8003960497677327
0.12717635929584503,1180,0.2,1090,60,518.9032703500001,112,19.165236549824478,2.5e-05,0.4693603515625,0.9643030762672424,122880,-0.054681725887348875,0.06484811,1000.0,14.381440162658691,3.855990070849657
0.12582409381866455,1380,0.2,1092,70,722.8528011499998,131,24.535315200686455,2.5e-05,0.4949462890625,0.947676956653595,143360,-0.045148525713739215,0.05854059,1000.0,12.8687744140625,3.9253144852817057
0.12447302788496017,1580,0.2,1093,80,917.7530561899999,149,46.032354137301446,2.5e-05,0.4917236328125,0.9604765176773071,163840,-0.04794836869550636,0.07007281,1000.0,21.537736892700195,3.9902533903717994
0.12322074174880981,1780,0.2,1095,90,1075.90851051,168,41.12045563459397,2.5e-05,0.524072265625,0.9331221580505371,184320,-0.041355577090143925,0.0681746,1000.0,21.895153045654297,4.048389843851328
0.12204033136367798,1980,0.2,1098,100,1279.64301436,186,35.58563904762268,2.5e-05,0.535107421875,0.9315162897109985,204800,-0.034710083142999795,0.07944681,1000.0,13.508756637573242,4.111507341265678
0.12103986740112305,2180,0.2,1102,110,1424.20757576,204,51.60178914070129,2.5e-05,0.4583251953125,0.9190594553947449,225280,-0.04147614527537371,0.05230593,1000.0,21.635873794555664,4.161877818405628
0.1193840429186821,2380,0.2,1103,120,1588.45408749,222,27.860671493411065,2.5e-05,0.549072265625,0.9159815907478333,245760,-0.03890961670113029,0.0762002,1000.0,19.29856300354004,4.241616397351026
0.11824551224708557,2580,0.2,1104,130,1737.0973870600003,241,53.99128242433071,2.5e-05,0.503564453125,0.9369164705276489,266240,-0.032136287108733085,0.069076926,1000.0,36.62759780883789,4.299628054350615
0.1170414611697197,2780,0.2,1105,140,1899.6046071199996,259,47.15049442052841,2.5e-05,0.5339599609375,0.9241750240325928,286720,-0.03075340494469856,0.07474391,1000.0,29.114784240722656,4.360692863911391
0.11654096841812134,2980,0.2,1107,150,2025.1290130100003,277,31.44651067107916,2.5e-05,0.5911376953125,0.8263875246047974,307200,-0.01718669129550108,0.10688777,1000.0,15.095999717712402,4.388270159810782
0.11547785252332687,3180,0.2,1108,160,2117.49285431,295,33.5773979395628,2.5e-05,0.564794921875,0.944281816482544,327680,-0.037473709334153685,0.08486621,1000.0,41.14841842651367,4.447165293991565
0.11510902643203735,3380,0.2,1110,170,2162.2946610400004,313,36.20387490540743,2.5e-05,0.58916015625,0.8996527194976807,348160,-0.015843773991946364,0.08322962,1000.0,28.896358489990234,4.462714292854071
0.11438580602407455,3580,0.2,1111,180,2217.1888433400004,331,53.76979646086693,2.5e-05,0.5449951171875,0.9346495866775513,368640,-0.03378279669850599,0.07738568,1000.0,15.57447624206543,4.502942419052124
0.11346334964036942,3780,0.2,1112,190,2229.5325446500005,349,47.08131766021252,2.5e-05,0.5968994140625,0.9223765134811401,389120,-0.03078670428803889,0.09230034,1000.0,19.506488800048828,4.553703555464745
0.11271879822015762,3980,0.2,1113,200,2213.3066711399997,367,31.141300770640374,2.5e-05,0.7254150390625,0.865752637386322,409600,0.06741178654774557,1.6189061,1000.0,11.165059089660645,4.5960814990103245
0.11198002845048904,4180,0.2,1117,210,2206.87016694,385,34.82735436111689,2.5e-05,0.59375,0.8859297037124634,430080,-0.029805097487405875,0.12490428,1000.0,22.26402473449707,4.633883431553841
0.11125759035348892,4380,0.2,1118,220,2173.38042686,402,65.38651054501534,2.5e-05,0.5557861328125,0.9233229160308838,450560,-0.03102345512670581,0.07414543,1000.0,30.903392791748047,4.675527331233025
0.11078747361898422,4580,0.2,1120,230,2173.2075740600003,420,59.57708261013031,2.5e-05,0.60166015625,0.9216572046279907,471040,-0.0053859097490203565,0.09893015,1000.0,16.024154663085938,4.7027054011821745
0.11039101332426071,4780,0.2,1122,240,2207.79794341,437,56.80102741122246,2.5e-05,0.5665283203125,0.8863181471824646,491520,-0.02203781311018247,0.09285292,1000.0,15.730947494506836,4.72454721108079
0.11020936816930771,4980,0.2,1124,250,2301.2625224999997,455,46.86972251832485,2.5e-05,0.5682373046875,0.9107086062431335,512000,-0.020806181728403317,0.09485559,1000.0,21.118976593017578,4.734885516762733
